"","algorithm","instance","nodes","edges","pedges","pareto","end","shared","pshared","v1","v2","v3","v4","v5","components","maxin","meanin","maxout","meanout"
"1","moead","UF1",1222,1291,1.0565,0,15,17,0.0139,250,238,230,258,229,6,4,1.0565,4,1.0565
"2","moead","UF10",799,978,1.224,0,14,35,0.0438,169,163,170,155,107,4,6,1.224,5,1.224
"3","moead","UF2",1422,1481,1.0415,0,15,5,0.0035,279,304,305,280,249,10,3,1.0415,3,1.0415
"4","moead","UF3",940,1052,1.1191,4,13,190,0.2021,171,123,156,138,158,1,15,1.1191,17,1.1191
"5","moead","UF4",937,1028,1.0971,0,15,0,0,193,179,203,234,128,15,4,1.0971,4,1.0971
"6","moead","UF5",1028,1129,1.0982,7,15,60,0.0584,181,196,212,193,179,3,4,1.0982,4,1.0982
"7","moead","UF6",1237,1295,1.0469,0,15,20,0.0162,208,235,266,273,235,9,3,1.0469,3,1.0469
"8","moead","UF7",1262,1304,1.0333,0,15,13,0.0103,226,281,281,237,224,8,3,1.0333,4,1.0333
"9","moead","UF8",936,1072,1.1453,1,14,36,0.0385,126,217,132,202,222,5,4,1.1453,4,1.1453
"10","moead","UF9",929,1095,1.1787,0,15,26,0.028,180,229,119,192,183,6,5,1.1787,6,1.1787
"11","nsga2","UF1",217,208,0.9585,0,15,4,0.0184,46,36,51,46,34,9,3,0.9585,3,0.9585
"12","nsga2","UF10",127,121,0.9528,0,14,9,0.0709,27,23,25,31,12,8,3,0.9528,3,0.9528
"13","nsga2","UF2",217,203,0.9355,0,15,1,0.0046,52,39,41,40,44,14,2,0.9355,2,0.9355
"14","nsga2","UF3",174,177,1.0172,3,5,9,0.0517,21,12,38,42,49,1,5,1.0172,3,1.0172
"15","nsga2","UF4",122,107,0.877,0,15,0,0,17,21,20,30,34,15,1,0.877,1,0.877
"16","nsga2","UF5",206,210,1.0194,2,15,18,0.0874,36,28,46,33,43,3,4,1.0194,5,1.0194
"17","nsga2","UF6",247,234,0.9474,0,15,4,0.0162,45,59,40,46,53,13,2,0.9474,2,0.9474
"18","nsga2","UF7",282,279,0.9894,0,15,11,0.039,42,47,85,48,49,7,2,0.9894,3,0.9894
"19","nsga2","UF8",171,169,0.9883,0,13,14,0.0819,25,28,33,27,44,7,2,0.9883,2,0.9883
"20","nsga2","UF9",185,187,1.0108,0,15,16,0.0865,42,25,39,34,29,4,3,1.0108,3,1.0108
